Model:,EDU-X 1002A,,Time (s),1 (VOLT),
,,,0.15144,0.0152901995461434,
,,,0.15148,0.0112700996687636,
,,,0.15152,0.000817839987576008,
,,,0.15156,0.00483793986495584,
,,,0.1516,-0.00722235976718366,
,,,0.15164,-0.0136545195709914,
,,,0.15168,-0.00963441969361156,
,,,0.15172,-0.023302759276703,
,,,0.15176,-0.0208906993502751,
,,,0.1518,-0.023302759276703,
,,,0.15184,-0.0192826593993232,
,,,0.15188,-0.022498739301227,
,,,0.15192,-0.0128504995955154,
,,,0.15196,-0.0184786394238472,
,,,0.152,-0.00481029984075576,
,,,0.15204,0.00322989991400391,
,,,0.15208,0.00805401976685971,
,,,0.15212,0.00483793986495584,
,,,0.15216,0.0144861795706674,
,,,0.1522,0.0297625591047108,
,,,0.15224,0.024938439251855,
,,,0.15228,0.0321746190311387,
,,,0.15232,0.025742459227331,
,,,0.15236,0.0225263793254271,
,,,0.1524,0.0209183393744752,
,,,0.15244,0.0209183393744752,
,,,0.15248,0.0217223593499511,
,,,0.15252,0.00564195984043181,
,,,0.15256,0.00483793986495584,
,,,0.1526,-0.0112424596445635,
,,,0.15264,-0.0184786394238472,
,,,0.15268,-0.0152625595219433,
,,,0.15272,-0.0184786394238472,
,,,0.15276,-0.022498739301227,
,,,0.1528,-0.0192826593993232,
,,,0.15284,-0.0208906993502751,
,,,0.15288,-0.0192826593993232,
,,,0.15292,-0.0144585395464674,
,,,0.15296,-0.0176746194483712,
,,,0.153,-0.00561431981623173,
,,,0.15304,0.00885803974233568,
,,,0.15308,0.00966205971781164,
,,,0.15312,0.0193102994235232,
,,,0.15316,0.0217223593499511,
,,,0.1532,0.0233303993009031,
,,,0.15324,0.0297625591047108,
,,,0.15328,0.0185062794480473,
,,,0.15332,0.0225263793254271,
,,,0.15336,0.0289585391292349,
,,,0.1534,0.0193102994235232,
,,,0.15344,0.00966205971781164,
,,,0.15348,0.00483793986495584,
,,,0.15352,0.00483793986495584,
,,,0.15356,0.00242587993852794,
,,,0.1536,-0.00722235976718366,
,,,0.15364,-0.0144585395464674,
,,,0.15368,-0.0168705994728953,
,,,0.15372,-0.0216947193257511,
,,,0.15376,-0.0208906993502751,
,,,0.1538,-0.0208906993502751,
,,,0.15384,-0.0208906993502751,
,,,0.15388,-0.0281268791295588,
,,,0.15392,-0.0112424596445635,
,,,0.15396,-0.0104384396690875,
,,,0.154,-0.00561431981623173,
,,,0.15404,-0.000790199963375926,
,,,0.15408,0.00724999979138374,
,,,0.15412,0.0144861795706674,
,,,0.15416,0.0201143193989992,
,,,0.1542,0.0209183393744752,
,,,0.15424,0.0313705990556628,
,,,0.15428,0.0289585391292349,
